Age,Gender,Student_Working_Status,Daily_Social_Media_Hours,Screen_Time_Hours,Night_Scrolling_Frequency,Online_Gaming_Hours,Content_Type_Preference,Exercise_Frequency_per_Week,Daily_Sleep_Hours,Caffeine_Intake_Cups,Study_Work_Hours_per_Day,Overthinking_Score,Anxiety_Score,Mood_Stability_Score,Social_Comparison_Index,Sleep_Quality_Score,Motivation_Level,Emotional_Fatigue_Score,Wellbeing_Index,Burnout_Risk,Sleep_Efficiency,Screen_Time_Ratio,Wellbeing_Balance
24,Male,Working,4.81,6.93,2.61,2.07,News,5.41,6.84,1.52,11.42,4.95,4.13,5.74,4.67,6.27,6.13,6.45,4.28,Medium,0.7997448979591837,0.4038461538461538,-0.3200000000000003
21,Male,Student,4.16,7.94,1.85,3.58,Gaming,3.41,7.88,2.23,6.98,5.91,3.63,5.75,5.38,7.37,6.27,3.74,5.23,Medium,0.8299549549549551,0.49255583126550867,2.5299999999999994
25,Male,Student,3.07,7.45,2.96,2.85,Entertainment,3.4,6.39,0.53,7.79,4.06,5.67,6.03,2.41,6.48,4.82,6.69,3.72,High,0.8768606224627876,0.42305508233957984,-1.87
22,Female,Student,4.41,7.34,4.51,3.37,Educational,2.19,7.92,0.58,6.61,6.1,4.78,4.85,5.86,7.27,5.17,5.96,3.97,High,0.8150224215246636,0.45646766169154235,-0.79
24,Male,Student,2.97,5.76,2.36,1.77,Educational,4.93,5.97,1.64,4.81,5.22,4.23,5.05,5.54,6.34,5.72,2.22,4.63,Medium,0.9096126255380201,0.3194675540765391,3.4999999999999996
20,Male,Both,6.06,8.75,4.6,0.61,Gaming,5.51,6.7,0.0,6.44,6.19,4.29,3.21,5.99,7.55,4.88,6.35,3.44,High,0.9805194805194805,0.5057803468208092,-1.4699999999999998
24,Male,Student,3.68,6.15,1.68,1.65,News,3.61,5.18,1.5,6.66,5.31,5.29,6.23,3.07,4.79,5.51,5.87,3.65,High,0.7750809061488674,0.32678002125398514,-0.3600000000000003
25,Female,Student,4.64,6.7,4.24,1.66,Educational,2.21,6.27,2.46,6.29,4.07,4.36,3.68,4.16,7.18,2.8,6.03,2.82,High,0.9876203576341128,0.3778905809362662,-3.2300000000000004
22,Male,Student,6.5,9.61,4.33,0.0,Educational,1.41,6.78,1.89,10.66,5.32,5.26,3.54,5.15,7.17,4.51,5.59,3.27,High,0.9215938303341902,0.5580720092915215,-1.08
21,Female,Student,3.73,5.97,4.26,0.98,News,1.94,4.65,2.9,9.88,4.46,4.67,5.91,4.63,4.61,6.06,5.38,3.85,High,0.815929203539823,0.3085271317829457,0.6799999999999997
25,Male,Student,2.87,3.27,3.52,3.11,News,1.56,8.19,1.08,6.95,5.44,3.21,6.3,3.94,9.14,5.95,3.5,6.01,Medium,0.9945593035908598,0.20683111954459202,2.45
25,Female,Student,3.14,8.17,2.91,0.0,News,4.05,6.73,0.05,2.61,5.12,4.26,5.52,5.16,5.48,5.67,4.36,4.12,Medium,0.7089262613195343,0.4730746960046323,1.3099999999999996
